pair_ID	entailment_judgment	relatedness_score
6	NEUTRAL	2.67884882
7	NEUTRAL	4.29238113
8	NEUTRAL	3.16046615
10	NEUTRAL	4.6540964
11	NEUTRAL	4.63931531
13	CONTRADICTION	3.63147087
15	NEUTRAL	3.3108228
16	NEUTRAL	2.78041858
17	NEUTRAL	2.87291546
19	NEUTRAL	4.44895501
20	CONTRADICTION	3.9234227
21	NEUTRAL	4.49796645
22	ENTAILMENT	4.93370679
23	CONTRADICTION	4.81476114
27	CONTRADICTION	2.97882585
29	NEUTRAL	4.18645758
31	CONTRADICTION	4.25616147
32	NEUTRAL	4.80311118
33	ENTAILMENT	4.54874327
34	NEUTRAL	4.16784058
36	NEUTRAL	3.71463415
37	NEUTRAL	4.00465696
38	NEUTRAL	3.26027286
39	NEUTRAL	4.21182163
41	CONTRADICTION	4.43165602
43	CONTRADICTION	4.55711101
46	NEUTRAL	3.85168717
48	NEUTRAL	3.78381241
50	NEUTRAL	3.41572166
51	NEUTRAL	3.58775804
52	ENTAILMENT	4.56558259
53	NEUTRAL	4.24541831
54	NEUTRAL	4.51806092
57	NEUTRAL	4.26475806
59	NEUTRAL	4.00939697
60	NEUTRAL	4.05508115
61	NEUTRAL	2.86151331
63	NEUTRAL	4.12451238
64	NEUTRAL	3.89429977
66	NEUTRAL	3.94840016
67	NEUTRAL	4.02318365
68	NEUTRAL	4.01201699
69	NEUTRAL	3.80983128
71	CONTRADICTION	3.53811738
74	NEUTRAL	4.56366266
75	NEUTRAL	4.22583003
76	NEUTRAL	4.52219877
80	NEUTRAL	2.34976251
86	NEUTRAL	2.50882784
89	CONTRADICTION	4.42300775
92	NEUTRAL	1.52138904
95	NEUTRAL	2.58192494
96	NEUTRAL	1.63057058
101	ENTAILMENT	4.4786491
102	ENTAILMENT	4.22292381
103	NEUTRAL	3.81096694
104	NEUTRAL	4.17302107
106	NEUTRAL	4.05098021
108	ENTAILMENT	4.61190485
109	ENTAILMENT	3.73126109
110	ENTAILMENT	4.52741741
111	ENTAILMENT	4.71483212
114	NEUTRAL	4.41644379
115	NEUTRAL	3.91444371
118	NEUTRAL	3.82497952
121	ENTAILMENT	4.37033561
123	NEUTRAL	2.78786068
125	NEUTRAL	3.26076232
128	NEUTRAL	2.98532411
132	CONTRADICTION	3.46951347
134	NEUTRAL	3.91252969
135	NEUTRAL	3.47432115
137	NEUTRAL	4.19307568
138	NEUTRAL	3.0345094
142	NEUTRAL	4.41671669
143	NEUTRAL	3.94562191
144	NEUTRAL	4.2734425
145	NEUTRAL	3.09218953
147	NEUTRAL	2.8546917
149	ENTAILMENT	4.63869076
151	NEUTRAL	4.63158665
152	CONTRADICTION	3.56235117
153	NEUTRAL	4.5710761
154	CONTRADICTION	3.0467251
155	NEUTRAL	4.51834047
156	CONTRADICTION	4.02356458
157	NEUTRAL	4.6438117
158	NEUTRAL	3.96209112
160	ENTAILMENT	4.3969532
162	NEUTRAL	3.9412584
165	NEUTRAL	3.74986973
166	NEUTRAL	3.55446502
167	NEUTRAL	4.27815741
168	NEUTRAL	3.71236725
169	NEUTRAL	4.490805
171	NEUTRAL	4.54552896
172	NEUTRAL	4.36346085
174	NEUTRAL	4.42162871
175	NEUTRAL	4.40732945
177	NEUTRAL	4.34385288
178	NEUTRAL	4.30577875
179	NEUTRAL	3.80191092
180	NEUTRAL	4.37652553
181	NEUTRAL	4.59770328
182	NEUTRAL	4.24903349
187	NEUTRAL	2.84984181
189	NEUTRAL	2.31684944
190	NEUTRAL	3.04139425
191	ENTAILMENT	4.61931853
193	ENTAILMENT	4.71999883
195	NEUTRAL	4.44722506
196	CONTRADICTION	4.1727019
198	CONTRADICTION	3.94910715
199	NEUTRAL	4.49497509
203	NEUTRAL	4.38350291
204	ENTAILMENT	4.3659849
206	NEUTRAL	4.43671987
207	NEUTRAL	3.65741616
208	NEUTRAL	4.42159771
209	ENTAILMENT	4.6486462
210	CONTRADICTION	3.51111074
212	ENTAILMENT	4.0923341
213	NEUTRAL	1.50138131
214	NEUTRAL	1.62193572
220	NEUTRAL	4.56809064
221	NEUTRAL	4.53448338
222	NEUTRAL	3.95892307
229	ENTAILMENT	4.15061639
230	CONTRADICTION	3.39903197
231	NEUTRAL	4.24625326
235	NEUTRAL	2.22831052
239	NEUTRAL	3.60531321
242	NEUTRAL	4.03788821
243	NEUTRAL	3.82636225
244	NEUTRAL	3.49468927
245	NEUTRAL	4.26643583
246	NEUTRAL	3.11454056
247	NEUTRAL	3.51183421
250	NEUTRAL	3.57792219
251	NEUTRAL	3.825358
252	NEUTRAL	3.89963456
255	NEUTRAL	4.60358781
261	NEUTRAL	3.59103879
262	NEUTRAL	4.69373462
263	NEUTRAL	4.69603105
264	NEUTRAL	4.48377595
267	ENTAILMENT	4.04305591
268	NEUTRAL	3.9006051
270	NEUTRAL	3.66019859
271	ENTAILMENT	4.21974715
274	NEUTRAL	4.3662551
275	CONTRADICTION	4.25076393
278	NEUTRAL	4.13973223
281	NEUTRAL	3.5634487
282	ENTAILMENT	4.71638784
284	NEUTRAL	3.8603
288	NEUTRAL	4.34210079
290	NEUTRAL	4.34210079
292	NEUTRAL	4.17985031
294	ENTAILMENT	4.38201117
295	NEUTRAL	3.35826768
297	NEUTRAL	3.5170782
298	NEUTRAL	3.34596708
299	NEUTRAL	3.29126577
300	NEUTRAL	4.13328393
306	NEUTRAL	3.92935793
307	NEUTRAL	4.13023942
308	NEUTRAL	2.76913442
314	NEUTRAL	4.21190283
316	NEUTRAL	2.5669994
318	NEUTRAL	3.95613719
319	NEUTRAL	2.96398262
320	NEUTRAL	2.49766254
321	NEUTRAL	2.70687017
322	NEUTRAL	4.66711015
324	ENTAILMENT	4.67406587
325	CONTRADICTION	3.97060453
326	NEUTRAL	3.05462307
328	NEUTRAL	2.56112877
330	NEUTRAL	2.53116091
334	NEUTRAL	4.18699108
336	NEUTRAL	4.33919457
337	ENTAILMENT	4.05205115
343	NEUTRAL	4.33973521
345	NEUTRAL	3.12462693
348	NEUTRAL	3.00626239
349	NEUTRAL	4.11711641
350	NEUTRAL	3.49639165
352	CONTRADICTION	4.03638466
353	NEUTRAL	4.70970527
355	CONTRADICTION	3.55442048
356	NEUTRAL	3.59861218
357	CONTRADICTION	3.57671615
359	CONTRADICTION	3.55601582
364	NEUTRAL	4.70343242
365	ENTAILMENT	4.65710277
368	NEUTRAL	4.38890931
369	NEUTRAL	3.82997644
371	NEUTRAL	4.62332596
376	NEUTRAL	4.03518526
383	CONTRADICTION	4.29425036
385	NEUTRAL	4.4740715
386	NEUTRAL	4.37131108
388	CONTRADICTION	4.3709518
389	NEUTRAL	4.06463327
399	CONTRADICTION	2.56833648
400	NEUTRAL	2.79123457
401	NEUTRAL	3.71372955
405	NEUTRAL	4.1048793
406	ENTAILMENT	3.72773623
407	NEUTRAL	2.18537089
408	ENTAILMENT	3.6633317
411	NEUTRAL	3.62754292
412	NEUTRAL	3.32915902
414	NEUTRAL	4.30486383
416	NEUTRAL	3.30356735
418	NEUTRAL	4.06024097
419	NEUTRAL	4.21195377
420	NEUTRAL	3.92839477
421	NEUTRAL	3.9351994
424	NEUTRAL	4.43408361
425	NEUTRAL	3.72400023
426	NEUTRAL	4.42516047
429	NEUTRAL	4.12274896
430	NEUTRAL	4.26132867
431	CONTRADICTION	3.68945564
432	NEUTRAL	4.37905081
433	NEUTRAL	4.01473914
437	NEUTRAL	4.05264716
443	NEUTRAL	4.65148647
444	NEUTRAL	4.58548758
445	NEUTRAL	4.3554994
448	NEUTRAL	4.38080291
452	NEUTRAL	4.27491824
453	ENTAILMENT	4.09118293
455	NEUTRAL	3.78762075
456	CONTRADICTION	3.25371727
458	NEUTRAL	2.75207129
459	NEUTRAL	3.35322573
460	CONTRADICTION	3.03355756
463	NEUTRAL	3.55774454
464	NEUTRAL	4.56763785
466	CONTRADICTION	4.07481511
467	NEUTRAL	4.37437602
468	NEUTRAL	2.99473744
469	NEUTRAL	4.60266648
471	ENTAILMENT	4.12114771
472	NEUTRAL	3.91761421
474	CONTRADICTION	4.03554306
478	CONTRADICTION	2.44080629
479	NEUTRAL	3.32644524
480	NEUTRAL	2.73167586
481	NEUTRAL	3.75468037
482	ENTAILMENT	4.55965105
483	NEUTRAL	3.7224071
487	NEUTRAL	3.87552208
488	NEUTRAL	3.94645169
490	NEUTRAL	4.0509241
492	CONTRADICTION	3.46501167
493	NEUTRAL	3.71044757
495	ENTAILMENT	4.19150642
498	NEUTRAL	3.818765
